,ROOM TYPE>,ADMIT,AIRLOCK,ALCOVE,ANIMAL,ANTE.RM,ARCHIVE,ARMORY,AUDI,AUDI.S,AV.RM,BALANCE,BAR,BED.RM,BOOK.ST,CAGE.ST,CAGE.WA,CALLCTR,CASHIER,CHAPEL,CLASS,CLASS.S,CLEAN,CLINIC,COLD.RM,COMMON,COMPLAB,COMPTR,CONDO,CONF,CONSULT,CONTROL,COPY.RM,COURT,DANCE,DARK.RM,DECK,DET.RM,DINE.S,DINING,DRAFT,DRESS,DUBBING,EDTG.RM,ELV.LOB,EM.RM,EMP.SP,EQUIP,EXAM,EXHIBIT,FIELD,FILE.RM,FOYER,FREEZER,GAME,GARAGE,GIFT,GRN.RM,GYM,INCNTR,INFO,INST.RM,INTVIEW,JC,KIOSK,KIT.S,KITCHEN,LAB,LAB.OFF,LAB.S,LAUNDRY,LIB.S,LIBRARY,LIV.RM,LOAD.DK,LOBBY,LOCKER,LOUNGE,MAIL.RM,MORGUE,MUSEUM,OBSERV,OFFICE,OM*BOIL,OM*CHIL,OM*COM,OM*CORR,OM*ELEC,OM*ELEV,OM*EQ,OM*FAN,OM*FURN,OM*JC,OM*LOB,OM*MACH,OM*MECH,OM*RR,OM*STAI,OM*STO,OM*TELE,OM*VEST,ON.CALL,OR,PANTRY,PATIENT,PHARM,POOL,PORCH,PRACT,PREP.RM,PRIV.RM,PRNT.RM,PROC.RM,PROJECT,QUAR.RM,READ,REC.RM,RECEIVE,RECEP,RECORDS,RECOVER,RESI,RETAIL,RR,SAUNA,SCREEN,SCRUB,SEATS,SEMI,SHOP,SHOWER,SNACK,SOUND,STACK,STAGE,STATION,STERILE,STO,STOCK,STUDIO,STUDY,SUITE,SUPPLY,SURGERY,TAPING,TELE,TEST.RM,THEATER,THERAPY,TICKET,TOOL.RM,TRAIN,TRASH,TRASH.R,TREAT,TUTOR,UTILITY,VAULT,VENDING,VEST,VIDEO,VIVARIA,WAIT.RM,WARM.RM,WEIGHT,WORK.RM,XRAY,Grand Total
32,BIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45167.0
33,BIT,,,,,,,,5189.0,1437.0,,,,,,,,,,,,,,,,,504.0,,,,,387.0,,,,,,,,,,1018.0,,,,,,166.0,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,1127.0,,,,,,,348.0,,198.0,,,107.0,,461.0,,,44.0,,,973.0,765.0,,,,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,4384.0,,,653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,18482.0
34,BKF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157117.0
35,BKS,,,,,,,,,,,,,,21179.0,,,,127.0,,,,,,,,,,,1201.0,,,,,,,,,,,,329.0,,,,,,,,,,174.0,,,,,,,,,,,,,,,174.0,,,,,,,,,,224.0,,,,,,4394.0,,,,1140.0,357.0,529.0,2325.0,,,214.0,532.0,,,691.0,4101.0,6.0,80.0,149.0,,,,,,,,,,,,,,,,,547.0,315.0,,,,,,,,,,,503.0,,,,,,,,1141.0,1770.0,240.0,,,,,,,,,,,,,,,,,,277.0,,,,,412.0,,,6954.0,,50085.0
36,BLA,,,,,,,,,,,,,,,,,,,,31200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200.0
37,BMH,,,,,,,,,,,,,,,,,,,,3079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737.0,,,,,,,,,,57.0,,,375.0,227.0,183.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,,934.0,,,,,,,,,,,,,,,,,,,,206.0,,,,,,,,7516.0
38,BMP,,,,,,,,,,,,,,,,,,,,,,,1819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.0
39,BMT,,,,,,,,,,,,,,,,,,,,6511.0,,,,,,,,,144.0,,110.0,,,,,,,,,,,,,,,,474.0,,,,,,,,,,,,,,,,,,,83.0,5551.0,,222.0,,,551.0,,,,,,,,,,4177.0,,,,4198.0,335.0,573.0,,,,102.0,,,350.0,583.0,1639.0,,34.0,63.0,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,217.0,,27980.0
40,BRI,,,,,,,,,,,,,,,,,,,,746.0,,,,,,678.0,96.0,,1790.0,,152.0,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,281.0,,,,,,,,,,,796.0,66.0,,,,17875.0,,,,,,,1142.0,,,252.0,,,,1117.0,,,100.0,383.0,,,262.0,,,,,,,,210.0,,,,,,,1776.0,,,,,89.0,,,,,1692.0,,,,,,,,,202.0,,,,,,,,,95.0,,,,,166.0,,,,,,,,117.0,,,,,,1622.0,,31765.0
41,BSR,,,,,,,,,,,,,27144.0,,,,,,,,,,,,,,,,280.0,,,,,,,,,1156.0,4416.0,,,,,,,,,,,,,,,637.0,,,,,,,,,,,,289.0,,,,639.0,,,765.0,,682.0,,400.0,,,,,229.0,,,,8575.0,41.0,864.0,,,,771.0,,,1156.0,378.0,2752.0,,20.0,43.0,,,,,,,,123.0,,,,,,,,,,,,,,,3406.0,,,,,,,,715.0,,,,,,448.0,,,3475.0,,,,,,,,,,,,,,,,,,,378.0,,,,,,703.0,,60485.0
