,Bldg #,Building,Code,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
98,1260,Figueroa Bldg,FIG,6551.008914486707,5903.994549189228,5872.034919407046,5523.239556775492,5652.725957728451,6178.988931848617,9876.020137552518,11004.966195739396,8943.966735211377,7798.9470188388805,6784.879782971669,5408.554982832931,5838.9890672227275,6194.009838013933,5370.028345628181,6899.018654828575,5578.019261912753,7288.967406273875,9405.015558352718,9707.990113520465,10506.013357636946,8423.982952817812,5430.0205641773855,5796.971597342659,5346.0064939488375,6322.0,4489.0,4016.0,4673.0,5612.0,5183.0,6337.0,6353.0,5335.420853921111,6182.0,4571.0,5072.0,4239.0,3711.0,3797.0,4445.0,6153.0,7530.0,8077.0,10003.0,8128.0,7265.0,7135.0
99,1270,College Letters House (was Freshman Writing House),clh,1291.0051269665244,1336.993447557897,1350.990318874943,1549.6574457779684,1401.6867914749262,1707.3457216595777,2429.3600605471424,2717.9857310955917,1803.966447854681,1376.9832197036442,1105.0122878806187,1258.6700022219327,1383.0105907100997,1286.9939713867477,1382.992321743275,1339.0191880718921,1143.6721461933444,1427.0241518096732,2368.9968351493744,2577.528414718411,2527.0104921268194,1823.9926406336056,1228.307698313758,1243.972658626408,987.6872488688015,1118.0,864.9999999999999,419.99999999999994,569.0,1526.9999999999998,1158.0,1882.0000000000002,2347.0,2013.5448223367723,818.0,1140.0,1092.0,1084.0,552.0,576.0,732.0,1666.0,1764.0,1527.0,1805.0,1028.0,769.0,959.0
100,1280,McDonald's Swim Stadium,MAC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1290,Jefferson Bldg,JEF,21289.01138562535,19941.03470304582,18502.974201469515,19498.982189336737,20325.024881793015,21500.01630037326,30579.000193514865,31521.97423498776,25928.896638693295,22690.84182895719,21847.703844598076,21991.070295379242,21187.985702871738,24410.042859664034,18871.00530214655,18936.996697923827,16616.989901951343,17907.970305719286,23466.014188667912,21016.98672250838,25663.984343912438,22051.021085326614,18278.00142450218,23292.944025424473,18488.02487148022,19130.0,16008.0,14483.0,15872.0,17719.0,17791.0,18583.0,17457.0,15751.482686356605,14881.0,14694.0,16559.0,13170.0,12314.0,12099.0,13068.0,16994.0,16040.0,21014.0,18473.0,14948.0,16743.0,18437.0
102,1330,Parking Structure C (Non-Aux),PSX,8191.996159830569,7424.009840564132,7413.35103099812,7424.0154882247725,8192.021349348846,7397.368971019994,7680.003348368888,7935.98551514144,7679.941802026004,7679.9679144175,8458.51991730334,8438.753787219452,7680.016594164647,7709.999999999999,7413.35600693206,7935.987351809812,7679.991489189918,7423.955432226581,8191.9723234101375,7423.970532482442,7680.012827852196,8191.989536034406,7690.684564346065,8703.990436387305,7679.99980198161,7799.999999999999,7034.0,668.0,691.0,5751.0,6090.999999999999,6520.0,737.0,768.1603567087384,784.0,738.0,740.0,668.0,667.0,668.0,668.0,737.0,691.0,668.0,737.0,691.0,715.0,691.0
103,1331,Parking Structure C,PSX1,15552.026060366203,15224.993011986962,15361.643369318841,14563.732521960845,14671.36602104195,16360.610660465483,19536.02388077751,21250.42218851904,17845.1991042106,17736.91297760367,16366.82781207628,15412.967022635736,15699.02149726729,25233.0,16801.640778676472,15597.97770166608,12782.97296058915,14590.948364069336,17338.634983944863,15714.98597596981,18381.00285883515,15847.011463847888,14127.31514106957,16040.611772681887,14476.044133423447,14881.0,13704.0,13612.0,16148.999999999998,18210.0,18032.0,19205.0,19277.0,18255.282548488896,19109.0,17861.0,18594.0,17201.0,18772.0,16184.0,16037.0,19549.0,20637.0,21665.0,22708.0,22285.0,23229.0,22986.0
104,1340,Stauffer Hall of Science,SHS,67521.80263643568,65719.01734636663,65533.40648217159,67524.70876713608,72155.71746359646,67522.71785180291,70329.91379824796,73424.24416476341,71275.52102592088,71204.14759683023,78926.76442864863,69827.6795042537,61299.38703849118,63423.02030404167,60930.07064780414,68990.30541900243,65391.83335569535,64813.1110785717,70100.16178632279,64554.02209923538,70499.60582785719,74712.41471864124,67765.80619789324,70894.11925289498,62719.866336578074,66606.0,53154.0,51233.0,54029.0,64245.0,65207.0,59926.0,60115.0,61776.79389792354,69437.0,60915.0,62152.0,53591.0,65427.0,66192.0,61886.0,63790.0,59535.0,56375.0,65225.0,73520.0,73989.0,57656.0
105,1350,Stauffer Science Lecture,SLH,8978.805587766354,9018.942868224607,8091.975465324485,8287.00311701263,7624.0166804383525,6431.0165893296235,6801.009077695598,9218.991031780237,9842.948950275504,9260.923967413804,9413.88006608813,8000.839622306809,8354.017679623546,8630.002013567148,8555.998896230376,10805.229275737665,11277.77279062336,7776.97558833329,7209.015926899769,7746.012691259593,9204.989202649751,9711.007985230492,9311.011554624141,9194.972901799681,8357.001037197188,9911.0,7812.0,6528.68,8399.0,11032.0,8158.0,7497.999999999999,9410.0,11505.42128656915,12959.0,7046.0,7486.0,7666.0,7425.0,7503.0,6449.0,7316.0,6570.0,8193.0,9216.0,9499.0,9362.0,7409.0
106,1390,Parkside II Residence Building   NEW  FY08,PRB,89445.47761199059,90698.1538941587,85226.03217719178,87833.97453302484,83779.0227660434,64571.00096891502,72551.53119813873,72561.98453463348,70386.74224099168,91651.28825956814,104072.15780787116,103661.57736518413,83866.05178182754,87736.0,34560.0,28116.015134084282,87254.01275130428,74463.81751734328,89914.94817373947,79408.83931654807,102488.94090556893,108239.03347371815,102672.8815406679,96581.69473711695,80488.10698079866,97791.99999999999,74809.0,50874.0,55194.54,58033.0,55319.0,50259.0,51158.0,50457.24824799312,51764.0,43879.0,45102.0,42920.0,42342.0,41868.0,40367.0,44004.0,46359.0,60137.0,82687.0,75973.0,77292.0,63912.0
107,1410,Registration Building,REG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
